Company,Location,Country,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia", Russia,10/15/1986,9:29:00,Molniya-M /Block 2BL,Cosmos 1785,Retired,0,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia", Russia,10/20/1986,8:49:00,Molniya-M /Block ML,Molniya-3 n†­126,Retired,0,Success
RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Multinational,10/22/1986,8:00:00,Zenit-2,Cosmos 1786 & EPN n†­3,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,10/27/1986,12:40:00,Cosmos-3M (11K65M),Cosmos 1788,Retired,0,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia", Russia,11/13/1986,6:10:00,Cosmos-3M (11K65M),Cosmos 1791,Retired,0,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia", Russia,11/15/1986,21:35:00,Molniya-M /Block ML,Molniya-1 n†­127,Retired,0,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia", Russia,11/20/1986,12:09:00,Molniya-M /Block 2BL,Cosmos 1793,Retired,0,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia", Russia,11/21/1986,2:00:00,Cosmos-3M (11K65M),Cosmos 1794 to 1801,Retired,0,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia", Russia,11/24/1986,21:43:00,Cosmos-3M (11K65M),Cosmos 1802,Retired,0,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia", Russia,12/2/1986,7:00:00,Tsyklon-3,Cosmos 1803,Retired,0,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA", USA,12/5/1986,2:30:00,Atlas-G Centaur-D1AR,FLTSATCOM-7,Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,12/10/1986,7:30:00,Tsyklon-3,Cosmos 1805,Retired,0,Success
